customerName,customerNumber,country,no_of_customer,total_order,warehousecode,productName
"Kelly's Gift Shop",496,"New Zealand",1,29,d,"Collectable Wooden Train"
"Kelly's Gift Shop",496,"New Zealand",1,31,d,"18th century schooner"
"Kelly's Gift Shop",496,"New Zealand",1,32,d,"The Schooner Bluenose"
"Kelly's Gift Shop",496,"New Zealand",1,26,d,"The Mayflower"
"Kelly's Gift Shop",496,"New Zealand",1,30,d,"The USS Constitution Ship"
"Kelly's Gift Shop",496,"New Zealand",1,35,d,"The Titanic"
"Kelly's Gift Shop",496,"New Zealand",1,31,d,"The Queen Mary"
"Kelly's Gift Shop",496,"New Zealand",1,31,d,"Pont Yacht"
"Euro+ Shopping Channel",141,Spain,5,157,d,"1954 Greyhound Scenicruiser"
"Oulu Toy Supplies, Inc.",311,Finland,1,29,d,"Pont Yacht"
"Oulu Toy Supplies, Inc.",311,Finland,1,37,d,"The Queen Mary"
"Double Decker Gift Stores, Ltd",489,UK,1,32,d,"1999 Yamaha Speed Boat"
"Online Diecast Creations Co.",363,USA,1,22,d,"1940 Ford Pickup Truck"
"Online Diecast Creations Co.",363,USA,1,27,d,"1958 Setra Bus"
"Double Decker Gift Stores, Ltd",489,UK,1,24,d,"HMS Bounty"
"Diecast Collectables",495,USA,1,34,d,"1957 Chevy Pickup"
"Dragon Souveniers, Ltd.",148,Singapore,1,49,d,"1940s Ford truck"
"Diecast Collectables",495,USA,1,43,d,"1964 Mercedes Tour Bus"
"Dragon Souveniers, Ltd.",148,Singapore,1,49,d,"1996 Peterbilt 379 Stake Bed with Outrigger"
"Royal Canadian Collectables, Ltd.",260,Canada,1,22,d,"The Titanic"
"Dragon Souveniers, Ltd.",148,Singapore,1,48,d,"1957 Chevy Pickup"
"Diecast Collectables",495,USA,1,37,d,"1926 Ford Fire Engine"
"Dragon Souveniers, Ltd.",148,Singapore,1,46,d,"1964 Mercedes Tour Bus"
"Dragon Souveniers, Ltd.",148,Singapore,1,31,d,"1926 Ford Fire Engine"
"Amica Models & Co.",249,Italy,1,22,d,"Collectable Wooden Train"
"Souveniers And Things Co.",282,Australia,1,38,d,"1940s Ford truck"
"Dragon Souveniers, Ltd.",148,Singapore,1,32,d,"1962 Volkswagen Microbus"
"Souveniers And Things Co.",282,Australia,1,43,d,"1940 Ford Pickup Truck"
"Souveniers And Things Co.",282,Australia,1,28,d,"1958 Setra Bus"
"Dragon Souveniers, Ltd.",148,Singapore,1,48,d,"1954 Greyhound Scenicruiser"
"Dragon Souveniers, Ltd.",148,Singapore,1,44,d,"1950's Chicago Surface Lines Streetcar"
"Dragon Souveniers, Ltd.",148,Singapore,1,48,d,"Diamond T620 Semi-Skirted Tanker"
"Diecast Collectables",495,USA,1,47,d,"1940s Ford truck"
giftsbymail.co.uk,240,UK,1,48,d,"Collectable Wooden Train"
"Diecast Collectables",495,USA,1,46,d,"1962 Volkswagen Microbus"
giftsbymail.co.uk,240,UK,1,46,d,"18th century schooner"
"Diecast Collectables",495,USA,1,49,d,"1980’s GM Manhattan Express"
"Diecast Collectables",495,USA,1,27,d,"1954 Greyhound Scenicruiser"
"Diecast Collectables",495,USA,1,45,d,"1950's Chicago Surface Lines Streetcar"
"Muscle Machine Inc",151,USA,2,72,d,"1957 Chevy Pickup"
"Diecast Collectables",495,USA,1,28,d,"Diamond T620 Semi-Skirted Tanker"
"Down Under Souveniers, Inc",323,"New Zealand",1,32,d,"1957 Chevy Pickup"
"Enaco Distributors",216,Spain,2,63,d,"The Titanic"
